Gene	ID	Count
ARRDC5	790	7
ARSA	791	5
ARSB	792	8
ARSD	793	16
ARSE	794	11
ARSG	795	32
ARSI	796	7
ARSJ	797	10
ARSK	798	11
ART3	799	15
ARV1	800	5
ARVCF	801	1
AS3MT	802	5
ASAH1	803	3
ASAM	804	19
ASAP1	805	62
ASAP2	806	39
ASAP3	807	11
ASB1	808	28
ASB10	809	5
ASB11	810	6
ASB13	811	10
ASB16	812	3
ASB18	813	28
ASB2	814	16
ASB3	815	10
ASB4	816	24
ASB5	817	2
ASB6	818	6
ASB7	819	10
ASB8	820	11
ASCC1	821	15
ASCC2	822	26
ASCC3	823	8
ASCL1	824	6
ASCL2	825	7
ASCL4	826	6
ASF1A	827	6
ASF1B	828	11
ASGR2	829	11
ASH1L	830	20
ASH2L	831	13
ASIP	832	7
ASL	833	11
ASMTL	834	3
ASNA1	835	9
ASNS	836	28
ASNSD1	837	3
ASPA	838	2
ASPDH	839	4
ASPG	840	9
ASPH	841	11
ASPHD1	842	2
ASPHD2	843	16
ASPM	844	22
ASPN	845	12
ASPSCR1	846	2
ASRGL1	847	2
ASS1	848	17
ASTE1	849	6
ASTL	850	9
ASTN1	851	19
ASTN2	852	113
ASXL1	853	17
ASXL2	854	9
ASXL3	855	14
ASZ1	856	5
ATAD1	857	6
ATAD2	858	5
ATAD3B	859	8
ATAD5	860	11
ATCAY	861	15
ATE1	862	37
ATF1	863	23
ATF2	864	12
ATF3	865	8
ATF4	866	7
ATF5	867	7
ATF6	868	27
ATF6B	869	4
ATF7	870	14
ATF7IP2	871	2
ATG10	872	26
ATG101	873	9
ATG12	874	6
ATG13	875	8
ATG16L1	876	33
ATG16L2	877	9
ATG2A	878	9
ATG2B	879	5
ATG3	880	5
ATG4A	881	11
ATG4B	882	21
ATG4D	883	4
ATG5	884	9
ATG7	885	90
ATG9A	886	9
ATG9B	887	9
ATHL1	888	1
ATIC	889	4
ATL1	890	22
ATL3	891	15
ATMIN	892	7
ATN1	893	6
ATOH1	894	10
