Gene	ID	Count
NM_001160075	1158	3
NM_001160079	1159	2
NM_001160080	1160	18
NM_001160081	1161	6
NM_001160082	1162	14
NM_001160083	1163	2
NM_001160084	1164	6
NM_001160085	1165	5
NM_001160086	1166	3
NM_001160087	1167	6
NM_001160088	1168	5
NM_001160089	1169	28
NM_001160090	1170	35
NM_001160091	1171	17
NM_001160092	1172	122
NM_001160271	1173	6
NM_001160272	1174	4
NM_001160273	1175	5
NM_001160274	1176	2
NM_001160275	1177	5
NM_001160297	1178	9
NM_001160426	1179	6
NM_001160427	1180	4
NM_001161635	1181	17
NM_001161636	1182	4
NM_001161637	1183	4
NM_001161639	1184	8
NM_001161640	1185	53
NM_001161641	1186	7
NM_001161642	1187	4
NM_001161644	1188	5
NM_001161645	1189	4
NM_001161646	1190	5
NM_001161647	1191	6
NM_001161648	1192	9
NM_001161649	1193	7
NM_001161753	1194	12
NM_001161754	1195	9
NM_001161755	1196	3
NM_001162401	1197	9
NM_001162402	1198	5
NM_001162403	1199	16
NM_001162886	1200	44
NM_001162887	1201	6
NM_001162888	1202	27
NM_001162889	1203	11
NM_001162890	1204	14
NM_001162891	1205	3
NM_001163405	1206	4
NM_001163406	1207	6
NM_001163408	1208	12
NM_001163410	1209	6
NM_001163411	1210	10
NM_001163647	1211	8
NM_001163648	1212	3
NM_001163649	1213	9
NM_001163696	1214	5
NM_001163801	1215	17
NM_001163998	1216	2
NM_001164001	1217	7
NM_001164002	1218	7
NM_001164003	1219	16
NM_001164004	1220	6
NM_001164005	1221	8
NM_001164006	1222	6
NM_001164007	1223	6
NM_001164009	1224	5
NM_001164010	1225	62
NM_001164019	1226	4
NM_001164020	1227	5
NM_001164021	1228	15
NM_001164113	1229	12
NM_001164509	1230	8
NM_001164510	1231	38
NM_001164511	1232	3
NM_001164512	1233	10
NM_001164513	1234	2
NM_001164514	1235	16
NM_001164515	1236	6
NM_001164648	1237	6
NM_001164650	1238	6
NM_001164652	1239	33
NM_001164847	1240	3
NM_001164853	1241	2
NM_001164857	1242	4
NM_001164858	1243	83
NM_001164859	1244	5
NM_001164860	1245	2
